node,lt_mean,lt_std,lt_robust
20777,4.365,14.184208649057584,2.9465791350942414
29767,7.85,54.33348415111992,2.4166515848880072
8609,1.39,0.9153687781435416,1.2984631221856457
15878,1.735,3.7436312585509812,1.360636874144902
7083,3.15,8.77197241217732,2.2728027587822677
15491,3.565,10.057622731043356,2.559237726895664
18631,3.17,23.19075462334074,0.8509245376659256
24468,1.0,0.0,1.0
20409,5.51,24.29505916848115,3.0804940831518848
28888,1.01,0.09949874371066199,1.0000501256289338
15933,1.085,0.38441514018050854,1.046558485981949
29341,2.71,10.364646641347692,1.6735353358652307
14454,1.0,0.0,1.0
18109,3.175,8.224620052014561,2.352537994798544
7024,1.925,6.600710189062992,1.2649289810937008
28424,5.2,17.291616465790582,3.470838353420942
27231,2.985,8.99248436195471,2.0857515638045285
30105,1.48,1.6910351859142372,1.3108964814085762
20558,2.18,8.195584176860121,1.360441582313988
25579,4.19,15.240534767520463,2.6659465232479542
18520,1.785,6.045558286874753,1.1804441713125247
29660,1.385,1.8779709795414838,1.1972029020458517
7958,4.165,44.3644877689352,-0.27144877689351965
24741,5.77,50.64195000194997,0.705804999805002
28660,1.965,2.9519103983691646,1.6698089601630837
8650,10.525,98.69949024691059,0.6550509753089404
32846,8.48,33.90264886406371,5.08973511359363
5260,1.51,0.818474190185616,1.4281525809814384
30776,1.425,2.7082051251705437,1.1541794874829456
11472,6.015,9.176860846716593,5.09731391532834
5146,1.545,3.5858018629031907,1.1864198137096809
10626,2.3,4.905099387372289,1.809490061262771
11913,1.68,4.742109235350869,1.205789076464913
28059,1.025,0.2904737509655562,0.9959526249034443
13465,1.0,0.0,1.0
9518,5.005,5.680226668012466,4.436977333198754
13836,1.0,0.0,1.0
11638,1.205,1.2501899855621945,1.0799810014437807
30255,1.0,0.0,1.0
10059,1.505,4.986980549390584,1.0063019450609416
24988,5.48,27.490354672139098,2.7309645327860905
17724,6.52,17.764278763856414,4.743572123614358
23503,2.445,7.902339843362848,1.6547660156637152
