node,ic_mean,ic_std,ic_robust
20777,5.49,33.13894838403898,2.1761051615961016
29767,11.29,45.316177023222075,6.758382297677792
8609,2.425,11.749654250232215,1.2500345749767783
15878,2.935,23.336897287343064,0.6013102712656937
7083,15.11,52.54862414944847,9.855137585055152
15491,17.38,61.09636323055572,11.270363676944427
18631,11.97,51.17840462538863,6.852159537461137
24468,10.795,46.324647597148534,6.1625352402851465
20409,1.835,7.930811749121272,1.0419188250878726
28888,2.295,16.853129531336307,0.6096870468663691
15933,7.055,40.93094153571354,2.961905846428645
29341,1.11,0.37134889255254283,1.0728651107447458
14454,1.95,10.718092180980719,0.8781907819019281
18109,17.27,61.72501194815599,11.0974988051844
7024,12.97,50.50969312914106,7.919030687085894
28424,11.34,46.84286925456211,6.6557130745437885
27231,11.805,49.31761323300226,6.873238676699773
30105,1.135,0.3560547710675986,1.0993945228932402
20558,11.505,52.48342571707758,6.256657428292242
25579,18.23,63.25359357380417,11.904640642619583
18520,23.805,71.23466133140523,16.681533866859475
29660,5.565,34.29789753031518,2.135210246968482
7958,3.84,26.586545469466323,1.1813454530533676
24741,7.03,41.55188443380156,2.8748115566198438
28660,15.49,56.86439923185682,9.803560076814318
8650,6.97,34.97512115776013,3.4724878842239866
32846,20.01,59.520079805054024,14.057992019494598
5260,8.29,39.70725248616429,4.31927475138357
30776,9.735,46.08323746222697,5.126676253777302
11472,5.4,29.568733486573283,2.4431266513426717
5146,11.925,50.52394852938554,6.872605147061446
10626,7.315,41.21802730602229,3.1931972693977713
11913,6.945,34.140913505645976,3.5309086494354025
28059,8.5,44.30327301678737,4.069672698321263
13465,31.4,80.90142149554605,23.309857850445393
9518,2.675,17.08096528302777,0.9669034716972229
13836,10.595,48.563473671062695,5.73865263289373
11638,1.245,1.3397667707478043,1.1110233229252198
30255,11.04,46.49084210895733,6.390915789104266
10059,11.86,50.682545318876784,6.791745468112321
24988,6.48,34.50723982007254,3.0292760179927463
17724,40.89,91.30332907402666,31.759667092597333
23503,3.67,23.410491237904434,1.3289508762095563
21425,18.495,61.779769949393625,12.317023005060637
21939,3.545,19.96316545540812,1.5486834544591879
9405,20.775,63.82690948965022,14.392309051034976
25051,9.95,43.38867939912438,5.611132060087561
23783,9.37,41.8989629943272,5.180103700567279
31807,4.74,28.593922431174068,1.8806077568825934
29814,6.81,34.62807964643722,3.347192035356277
26973,12.68,49.9025810955706,7.689741890442939
6259,4.79,25.369783207587723,2.2530216792412276
18587,19.52,66.48059566520143,12.871940433479857
10551,15.695,57.27566651729162,9.967433348270838
15681,3.96,26.625521591135076,1.297447840886492
9339,24.91,69.34523703903535,17.975476296096463
32627,23.55,71.18691944451592,16.431308055548406
3075,16.65,55.165455676537285,11.13345443234627
17265,9.495,39.94508699452286,5.500491300547713
12673,5.945,35.220760568164906,2.4229239431835095
28848,6.725,35.13060453507739,3.2119395464922604
16647,16.435,60.504840922028706,10.384515907797127
11999,3.07,17.797334070022956,1.2902665929977042
11940,1.955,9.251106690553302,1.0298893309446697
10148,10.015,45.77187755598409,5.4378122444015915
22973,12.395,51.62178779352765,7.232821220647234
31912,2.83,12.455966441830197,1.5844033558169803
5493,18.555,60.61383484815987,12.493616515184012
23100,13.635,51.147549061514184,8.520245093848581
30367,11.71,51.21382528185139,6.588617471814861
17857,10.61,42.93655668541668,6.316344331458331
19241,4.43,26.2395712617413,1.8060428738258696
10329,13.76,54.17852342026313,8.342147657973687
25407,4.64,26.600383455882735,1.979961654411726
23057,15.51,53.26987797996162,10.183012202003837
10869,3.545,19.522499199641427,1.5927500800358572
15245,11.245,45.12111451416066,6.732888548583933
30031,2.705,16.13468236439751,1.091531763560249
17996,9.73,44.62652910545474,5.267347089454526
14521,15.29,52.721588557250435,10.017841144274955
10229,8.61,39.854960795363986,4.624503920463601
23332,12.79,48.51912921724791,7.938087078275208
7764,21.425,65.19788627708724,14.905211372291276
26068,2.635,21.15352866544965,0.519647133455035
29976,15.62,54.150490302489416,10.204950969751057
6921,14.765,51.61830852517351,9.60316914748265
20646,6.28,34.99887998207943,2.780112001792057
22152,12.0,48.667545654162595,7.13324543458374
17717,1.3,1.0049875621120892,1.199501243788791
9373,4.305,28.200389624967947,1.4849610375032047
10095,4.755,29.018528132901576,1.8531471867098421
24125,4.255,28.411792886053494,1.4138207113946502
23619,1.095,0.29321493822791495,1.0656785061772085
9969,25.19,73.28119745200674,17.861880254799328
27929,25.295,69.53738544840466,18.341261455159536
15890,8.55,39.815417867956626,4.568458213204337
27714,11.43,44.4997202238396,6.980027977616039
14449,10.91,47.81874005031918,6.128125994968082
24042,14.625,53.42419278753774,9.282580721246227
4550,8.715,44.63455808003481,4.251544191996519
21192,2.995,18.168791236623306,1.1781208763376694
22211,7.635,37.230253490944705,3.9119746509055293
2601,3.25,19.697652144354667,1.2802347855645333
24432,9.025,45.24283783097608,4.500716216902393
3516,14.205,53.874604174880034,8.817539582511996
13265,8.505,44.97888365666716,4.007111634333285
27880,5.1,29.56535134240755,2.1434648657592446
29376,30.74,75.80272026781097,23.1597279732189
22541,6.77,31.999485933370867,3.5700514066629125
19751,23.41,69.3438670684005,16.47561329315995
13527,13.61,52.73260755927019,8.33673924407298
29345,12.42,50.500827715988976,7.369917228401102
18556,8.88,39.60663580765223,4.919336419234778
22319,3.95,25.971474736718363,1.3528525263281637
7934,14.27,51.978332985966375,9.072166701403361
25127,10.16,43.64990721639623,5.795009278360377
150,2.305,15.4431853903267,0.76068146096733
3605,11.635,48.22905529864751,6.812094470135248
23522,20.955,62.52945685834798,14.7020543141652
9693,24.15,71.6343318528204,16.98656681471796
16194,11.39,49.82517335644704,6.407482664355296
15682,4.28,27.959105851224933,1.4840894148775066
17299,1.28,0.7756287771866126,1.2024371222813388
32809,22.8,68.136920975342,15.9863079024658
10004,1.115,0.31902194281898544,1.0830978057181015
20730,8.73,40.35848237979223,4.694151762020778
17510,1.395,2.447238239322032,1.1502761760677969
21134,22.17,62.95014773612529,15.874985226387473
11585,22.47,65.07433518676929,15.96256648132307
32473,20.01,62.53742799316262,13.756257200683738
30415,12.795,48.85031192326207,7.909968807673793
13166,13.485,49.33000886884169,8.55199911311583
5355,6.105,35.13664717926285,2.591335282073715
23784,3.53,24.230334294020793,1.1069665705979204
22394,12.685,46.61529550480186,8.023470449519815
1372,6.995,37.222909276412025,3.2727090723587975
29880,17.625,58.377858602384514,11.787214139761549
32380,8.72,38.55634318760015,4.864365681239986
32687,4.02,27.69981227373211,1.2500187726267882
29457,45.49,95.25376580482265,35.964623419517736
32184,7.87,37.99438247951926,4.070561752048074
29869,7.445,38.722951527485606,3.5727048472514396
26124,7.805,38.460849899605705,3.958915010039429
7669,3.755,26.41031947932474,1.1139680520675257
13565,3.015,21.98624058360137,0.8163759416398633
7711,5.23,30.767793226034264,2.1532206773965736
16030,9.575,47.67110629091798,4.8078893709082005
19568,1.445,1.3881552506834385,1.3061844749316562
2065,29.145,79.08807732522014,21.236192267477985
22744,12.005,47.63974155051642,7.241025844948359
4258,8.71,46.51468477803542,4.058531522196459
4330,24.05,69.18654132127143,17.131345867872856
21123,11.81,45.48597476145807,7.261402523854193
24778,14.63,57.202037551122245,8.909796244887776
5420,1.975,11.563493200586061,0.818650679941394
22280,2.66,20.446867730779694,0.6153132269220305
30562,9.815,41.83301058972447,5.631698941027552
32328,23.885,70.53057333525653,16.831942666474347
6891,3.175,21.397999322366562,1.0352000677633435
12864,13.225,52.51146898535595,7.973853101464405
10512,16.49,60.60412444710343,10.429587555289654
32524,7.32,37.01401896579187,3.6185981034208132
16480,5.49,34.37178930460269,2.0528210695397306
21970,1.885,10.30202771302815,0.854797228697185
17071,13.85,54.613070779805085,8.38869292201949
4181,8.75,45.64370164655798,4.185629835344202
7835,22.555,68.0916806592406,15.745831934075941
24963,18.92,67.7201122267233,12.147988777327672
1550,9.68,40.48861074425745,5.6311389255742546
11343,8.3,40.54626986542659,4.245373013457342
29526,9.225,40.14927614540516,5.210072385459483
28511,5.245,30.519255806785324,2.1930744193214675
25149,1.16,0.440908153700972,1.1159091846299027
21385,5.4,29.821804103709088,2.4178195896290915
28598,12.765,50.76671916718669,7.6883280832813305
23627,12.3,46.222721685335664,7.677727831466434
32350,5.945,29.75049537402697,2.9699504625973034
1401,11.755,44.54452800288718,7.300547199711282
7210,3.385,22.884640591453472,1.0965359408546527
1979,23.29,72.76266831280996,16.013733168719003
840,1.635,6.842643860380284,0.9507356139619716
23959,10.145,41.70820033278827,5.974179966721172
21764,19.67,65.54495480202881,13.11550451979712
27203,5.31,32.34414784779466,2.0755852152205336
8666,28.91,74.92711058088386,21.417288941911615
19548,4.7,28.55153235817651,1.844846764182349
26553,11.225,48.48530060750372,6.376469939249628
16838,15.03,53.23841751968216,9.706158248031784
26424,9.255,40.95119015364511,5.15988098463549
26882,5.095,30.424266219582027,2.0525733780417967
18354,5.765,30.173494577194734,2.747650542280526
15649,5.275,29.807538895386852,2.294246110461315
14847,5.6,29.952295404526183,2.6047704595473813
6219,5.07,24.942636187861137,2.5757363812138863
18133,1.19,0.5778408085277467,1.1322159191472252
16033,11.265,46.382160094156895,6.626783990584311
15825,24.22,64.81551974643111,17.738448025356888
15718,5.985,31.742475880119997,2.8107524119880005
15001,19.42,57.44557076050337,13.675442923949664
22818,25.105,73.44470011512063,17.76052998848794
16506,4.12,26.40635529564805,1.4793644704351947
2821,3.885,27.252555384770805,1.1597444615229193
13060,3.75,20.62783313874727,1.6872166861252729
14567,9.075,41.85306888389429,4.88969311161057
11453,32.73,81.5735686359252,24.57264313640748
3503,5.14,25.56756539054902,2.5832434609450976
24350,32.215,78.33580774460681,24.38141922553932
16946,26.28,68.59833525676844,19.420166474323157
19383,3.915,21.484593898884846,1.7665406101115155
4702,22.535,67.2182175827357,15.81317824172643
15619,6.095,36.024380286134004,2.492561971386599
30613,26.48,72.65424695088375,19.214575304911627
7865,7.13,37.102063284944144,3.419793671505585
30370,14.89,57.886422414932504,9.10135775850675
19867,9.065,41.31368750184374,4.933631249815625
24852,10.39,42.072531418967415,6.1827468581032585
2862,29.14,79.03031317159258,21.236968682840743
27349,8.18,37.30841192010188,4.449158807989811
23907,13.97,52.71934275007609,8.698065724992391
6717,36.74,84.20672419706159,28.319327580293844
31004,1.155,0.4254115654281157,1.1124588434571885
10178,10.175,43.63237759966788,5.811762240033212
14815,23.2,64.00039062380792,16.799960937619208
18932,2.665,14.551383954799627,1.2098616045200372
21120,8.58,38.36409258668841,4.743590741331159
9523,13.5,50.476925421424,8.4523074578576
23939,12.74,52.79149931570423,7.460850068429577
32781,11.21,48.288258407194604,6.38117415928054
14017,1.85,10.012866722372769,0.8487133277627232
10117,2.8,16.261918705983003,1.1738081294016993
30393,7.07,36.761462158080704,3.3938537841919296
19364,7.055,35.33089264369074,3.5219107356309256
25376,20.145,64.34224098521904,13.710775901478096
19575,1.92,7.476871003300779,1.172312899669922
24395,9.415,42.134104654068544,5.201589534593144
22452,5.985,34.71490710055264,2.5135092899447367
11967,3.52,23.14086428809434,1.2059135711905662
15870,8.87,40.1152477245249,4.858475227547509
1394,16.28,59.55914371446253,10.324085628553748
31317,2.945,18.481665915171174,1.0968334084828824
27582,4.35,26.342503677517065,1.715749632248293
28844,20.795,69.07230251700025,13.887769748299977
8587,5.04,30.667546364194184,1.9732453635805816
2058,14.425,51.523241115054084,9.272675888494593
27912,8.155,36.20042782896357,4.534957217103642
18686,20.145,62.75622658350325,13.869377341649674
20782,6.62,31.356587824570457,3.484341217542954
22548,1.205,0.47220228716091583,1.1577797712839084
28605,8.535,39.247786880281545,4.610221311971845
19645,6.24,33.84689646038466,2.8553103539615337
30505,20.905,61.47475884458596,14.757524115541404
647,24.06,68.73308082721158,17.18669191727884
17252,34.9,79.60169596183238,26.93983040381676
11561,25.73,69.96761465135138,18.73323853486486
25582,26.7,70.79816381799743,19.620183618200254
28636,26.51,74.55548202513347,19.054451797486653
4284,51.57,95.1363500456056,42.05636499543944
8411,15.955,53.603572408935584,10.594642759106442
9219,9.195,44.33110617839352,4.761889382160648
20305,29.9,75.8654730427485,22.313452695725147
10832,8.83,37.31609706279584,5.098390293720415
21952,17.51,57.93582570396318,11.716417429603684
25470,44.735,89.7193667777476,35.763063322225236
29560,10.155,46.164390768210076,5.538560923178991
4168,20.945,63.099540212270966,14.635045978772904
9234,26.315,75.24051950245958,18.790948049754043
24422,18.14,60.167436375501325,12.123256362449869
31241,17.455,60.56168735264895,11.398831264735103
15391,13.535,51.742233958343924,8.360776604165608
6153,17.315,58.02495820765406,11.512504179234595
29032,22.59,66.95559648005535,15.894440351994465
22020,3.105,21.526355358025654,0.9523644641974345
6101,15.485,56.38527977229517,9.846472022770481
15120,35.685,79.24068257530344,27.76093174246966
31129,38.95,84.30751745840938,30.519248254159066
10109,17.08,57.36761804363156,11.343238195636843
2089,21.0,65.13624183202467,14.486375816797533
9983,38.075,83.43206442969034,29.73179355703097
10904,47.87,92.20370437243831,38.64962956275617
23425,26.895,74.73101079873067,19.42189892012693
11220,10.56,46.930335605022044,5.866966439497796
32304,18.3,59.76186074747003,12.323813925252997
19566,12.8,50.87455159507551,7.712544840492449
8518,25.835,67.09990890455813,19.125009109544187
22188,22.725,61.77086186058926,16.547913813941076
19858,25.475,73.13473439481407,18.161526560518595
13326,5.355,26.61388688260323,2.6936113117396774
15862,27.855,75.77284457508507,20.277715542491492
2122,41.02,83.26487614834961,32.69351238516504
26343,45.075,87.3773962475422,36.33726037524578
18248,16.985,58.171081947991986,11.1678918052008
13125,35.525,81.58351166136453,27.366648833863543
25135,25.4,69.5617711102873,18.44382288897127
26501,29.69,80.96680739661161,21.593319260338838
18087,29.44,80.97874041993985,21.342125958006015
25824,10.725,47.47040525422128,5.9779594745778715
27006,26.37,73.2663845156836,19.04336154843164
31136,26.965,67.80843439425512,20.184156560574486
15867,11.885,47.16314000360875,7.168685999639124
17196,19.835,64.55693436804445,13.379306563195556
30343,9.995,39.56873734401945,6.038126265598054
10302,33.545,77.9083305879416,25.754166941205842
18486,58.99,99.10257262049255,49.079742737950745
25394,28.01,75.44149985253475,20.465850014746525
25348,4.2,26.071248531667983,1.5928751468332019
16216,9.345,41.81418389733321,5.16358161026668
17968,35.745,81.84155408470686,27.56084459152931
19745,18.33,65.15797034899107,11.81420296510089
31144,30.1,75.18324281380792,22.58167571861921
27217,20.56,62.05027316619968,14.35497268338003
10292,41.54,89.99365755429658,32.54063424457034
29251,25.705,66.41948490465731,19.06305150953427
20170,12.635,48.48114865594668,7.786885134405331
19305,8.42,38.45391527530064,4.5746084724699365
23950,32.555,77.59360137923744,24.795639862076257
4785,25.58,72.18125518443136,18.36187448155686
13898,35.915,81.48452475777225,27.766547524222773
29825,21.925,69.88776269848677,14.936223730151323
6647,8.22,38.28121732651666,4.391878267348334
18549,18.175,65.10018721171238,11.664981278828762
10543,18.2,55.297468296478094,12.67025317035219
20406,46.0,93.04262464053774,36.69573753594622
27120,24.415,68.39007804499128,17.57599219550087
20165,3.68,23.62557089257316,1.3174429107426842
19527,7.795,38.06393273165557,3.9886067268344427
21365,18.32,62.50982002853632,12.069017997146368
30170,7.55,40.10208847429271,3.5397911525707286
10488,22.61,68.93350346529618,15.71664965347038
10887,10.645,49.24641078291899,5.7203589217081
16362,12.675,51.363599708353775,7.538640029164623
17950,42.165,85.62813658488662,33.602186341511334
22250,23.685,68.01856933955608,16.88314306604439
19091,21.065,70.45382015902331,14.019617984097671
27060,35.595,86.3616869624488,26.95883130375512
28283,24.66,72.68421011471473,17.391578988528526
6359,19.705,68.76756484709925,12.828243515290072
17409,10.115,41.776689373381416,5.937331062661858
29476,47.54,95.08221915794772,38.03177808420523
22778,49.155,92.85731513995006,39.869268486005
17986,43.115,90.03733545035637,34.111266454964365
18571,15.835,58.00627358312203,10.034372641687797
18668,26.325,70.20106391643932,19.304893608356068
14173,17.925,57.36644816441053,12.188355183558947
5787,3.255,22.509775098832062,1.0040224901167938
24913,18.43,61.367459618270004,12.293254038173
7393,38.125,84.32359915824276,29.69264008417572
7219,47.095,95.04375821167848,37.59062417883215
24711,13.51,49.34744066311848,8.575255933688151
10443,22.335,61.920374473996844,16.142962552600316
4768,11.29,47.58146592949822,6.531853407050177
15279,21.1,64.16011221935324,14.683988778064677
18987,17.785,58.38363447919288,11.946636552080712
9014,5.4,29.419381366711303,2.45806186332887
2522,33.465,81.10560261165685,25.354439738834316
11245,16.365,56.57227037162288,10.70777296283771
2737,22.285,65.31342721829868,15.753657278170131
16372,20.8,67.28246428305074,14.071753571694927
8897,9.68,44.41157056443737,5.2388429435562625
340,27.785,75.66735607248346,20.218264392751653
11885,2.265,16.218655153865257,0.6431344846134743
13679,33.6,82.05223945755533,25.394776054244467
8878,13.13,46.88745141293137,8.441254858706863
26119,18.76,58.04379725689903,12.955620274310098
30897,35.41,83.9072815672156,27.019271843278435
17879,24.98,68.849615830446,18.0950384169554
19651,22.37,64.22937879195159,15.94706212080484
8017,30.555,75.1109644126608,23.04390355873392
29553,14.815,53.53055926291075,9.461944073708924
13042,43.07,88.90599023687886,34.17940097631211
4188,42.665,87.68553344195381,33.89644665580462
20838,17.805,56.99383278039826,12.105616721960175
23396,51.57,92.32927542226247,42.33707245777375
26853,19.385,58.76254568175208,13.508745431824792
15625,23.92,70.28459006069538,16.891540993930462
17966,43.605,92.84615756723592,34.32038424327641
19509,34.315,79.96559119396292,26.318440880603706
2817,12.36,49.16452379511063,7.4435476204889355
32346,16.825,54.00679934045342,11.424320065954657
10283,42.565,94.28878923286692,33.13612107671331
6442,26.41,74.09582916736947,19.000417083263052
9979,11.11,48.241557810667764,6.285844218933223
19277,10.11,43.31625445488102,5.778374554511897
10096,9.31,44.75828303230588,4.834171696769412
7101,29.8,70.6230840448079,22.73769159551921
14458,33.635,81.37119745339871,25.497880254660124
10306,21.74,63.83621542666827,15.356378457333172
17795,40.12,83.59973444933901,31.760026555066098
10469,34.98,81.32649998616688,26.847350001383308
23862,37.87,89.63271222048343,28.906728777951656
7026,13.035,50.72646030426329,7.9623539695736705
22417,26.96,72.55438236247346,19.704561763752654
29545,21.87,66.97860180684575,15.172139819315426
19657,23.07,63.916782616148645,16.678321738385137
25797,34.93,79.63243748624049,26.96675625137595
27255,25.48,65.98416173598025,18.881583826401975
26854,52.345,97.04007406736662,42.640992593263334
21984,2.65,20.029415867668238,0.647058413233176
23084,46.355,96.45034460798988,36.70996553920101
29840,28.61,76.53945322511782,20.95605467748822
20967,6.495,32.86974254538663,3.2080257454613372
12078,30.54,75.07941395615713,23.032058604384286
21072,20.465,64.96598167502742,13.968401832497257
5490,20.265,60.65669604421263,14.199330395578738
30910,36.18,82.29226938175907,27.950773061824094
9636,14.44,54.443515683688176,8.995648431631182
30792,23.725,66.95363601030193,17.029636398969807
18019,33.93,81.0513732147704,25.824862678522962
15471,11.83,47.17988024571491,7.1120119754285085
23764,25.95,72.49929310000202,18.700070689999798
31140,22.01,68.1890013125284,15.19109986874716
17004,2.71,18.174044679157138,0.892595532084286
11725,29.89,76.36476870913708,22.253523129086293
30290,28.11,74.61251838666216,20.648748161333785
17541,49.85,93.17439294140854,40.53256070585915
14594,27.73,71.92549687002516,20.537450312997485
8374,33.53,81.46784089442902,25.383215910557098
8725,6.555,29.40471008188994,3.6145289918110053
18747,12.355,48.55665737053983,7.499334262946017
15824,6.51,31.986245481456564,3.3113754518543432
5756,25.96,72.1687494695592,18.743125053044082
9829,18.76,63.32702740536619,12.427297259463383
9527,21.755,59.162107594303976,15.8387892405696
16185,16.925,56.19314348743981,11.30568565125602
32614,35.415,81.44195954788908,27.27080404521109
31933,39.185,86.86720195217526,30.498279804782477
20255,34.525,82.75100830201406,26.249899169798592
29836,9.895,46.14080596391875,5.280919403608125
8970,6.215,29.33306623931429,3.2816933760685707
26805,32.74,78.97197224332187,24.842802775667813
4715,2.255,14.180267099035897,0.8369732900964102
5947,15.315,56.29347897403393,9.685652102596606
10090,10.495,43.03870322163529,6.191129677836471
22283,15.03,50.171197912746706,10.012880208725328
30102,32.445,80.29898489395741,24.41510151060426
6247,34.065,80.03530955147234,26.061469044852764
15793,25.795,72.34806821885434,18.560193178114567
13434,50.08,93.5445006400697,40.72554993599303
28371,6.19,30.822295501795455,3.1077704498204546
14592,24.265,68.23382427359617,17.441617572640382
17020,34.54,80.20441633725663,26.519558366274335
18228,35.05,81.71938264573465,26.87806173542653
794,24.675,73.76719714751266,17.298280285248733
9539,32.125,79.3543280168133,24.18956719831867
14639,14.965,55.785963960480245,9.386403603951976
9133,9.845,44.87617380080436,5.357382619919565
1068,19.65,62.61227914714493,13.388772085285506
16294,38.77,86.88369870119482,30.081630129880523
26337,4.91,29.539328022147018,1.9560671977852984
15022,21.26,63.605207333991146,14.899479266600887
32657,34.175,81.13294260040122,26.061705739959876
399,43.81,92.93844145454561,34.51615585454544
22272,44.935,94.4020697601488,35.494793023985125
