node,degree,betweenness,closeness,eigenvector,pagerank,clustering
4,0.1492,0.009017297620377467,0.0760027183836618,0.16738721050538866,0.06737635381020354,0.023588477827952765
9,0.006600000000000001,2.5706140794711804e-05,0.003312585572165627,0.006883404389275918,0.005680346083109637,0.11586452762923351
16,0.0038,3.658416365486241e-06,0.0019045702065152437,0.020481959325191975,0.0009679400345059102,0.3894736842105263
19,0.0728,0.00240673539468481,0.03639542070197366,0.09174704529805276,0.04602487329540017,0.03922235172235172
20,0.019000000000000003,2.446323411769671e-05,0.008271952250391124,0.051435266751081635,0.0031027068187023917,0.23449897149573906
49,0.0132,5.887420896356627e-05,0.0056343631910062975,0.014344691862357588,0.007399688881718562,0.14097744360902256
61,0.002,0.0,0.0010015020326745727,0.011941318473280359,0.0,0.45454545454545453
65,0.0228,3.5590885637924376e-05,0.010310298955357844,0.046147899815902865,0.018321133595428946,0.17513801637159718
66,0.006600000000000001,8.492469470554253e-06,0.002909891886128557,0.02013985092406222,0.0005903962185785859,0.2850574712643678
71,0.1228,0.00468925917832609,0.06341019547910642,0.19779544101318006,0.0837703802006669,0.048992164401425474
83,0.1018,0.002702684434577762,0.05044615303303224,0.1690099814514044,0.08576330269538256,0.05466042966042966
102,0.0034000000000000002,1.3605274577083393e-07,0.0016033665244477024,0.01671162444496738,7.002367966840685e-05,0.3897058823529412
115,0.0002,0.0,0.00010006003201601388,0.0006885856343224524,0.0,1.0
150,0.0006000000000000001,0.0,0.00030024016811047716,0.003922808620795975,0.0,0.8333333333333334
191,0.0048000000000000004,4.499147193179251e-06,0.002205955063729892,0.005232768853644761,0.0026708691138232345,0.2015810276679842
193,0.005600000000000001,9.590280296652204e-06,0.0024069790354728227,0.01920117868592942,0.0017707197638222021,0.3466666666666667
202,0.0204,0.00016774333536297422,0.010208185942121473,0.020853048429576963,0.007503496269003281,0.039992234517569406
205,0.26860000000000006,0.030495846376924908,0.15455222393842627,0.3510949366403488,0.6657711286886072,0.01747394202442311
208,0.0038,7.040401926360648e-07,0.0018041488566566954,0.02117798972014969,0.00011672497866972243,0.4678362573099415
210,0.0064,8.957496246009731e-06,0.0024069790354728227,0.016302695705096685,0.0006639224545577121,0.27666666666666667
221,0.059800000000000006,0.001221350318551095,0.02945703046948367,0.07036852342797001,0.03178964632612325,0.03308886235715504
276,0.0068000000000000005,2.140276215880995e-06,0.0028092689578591568,0.025501612706681217,0.0006983067862320033,0.28078817733990147
287,0.0038,0.0,0.0018041488566566954,0.015571936541186146,0.0004468632829685439,0.3157894736842105
292,0.024600000000000004,6.562168103814027e-05,0.011844474631958146,0.04249140727048957,0.009748838718658958,0.10575112270027524
297,0.039200000000000006,0.0001415456361087024,0.016888741052315748,0.07820345077388265,0.0243461870125511,0.1713440588702114
301,0.37920000000000004,0.07000634854797813,0.22923557717689302,0.4536101747451729,0.2560006092196576,0.015454670977689306
325,0.033,0.0003259332337444745,0.01626837580615259,0.05691300007922945,0.010062745001261591,0.07453416149068323
329,0.019200000000000002,8.80717617361487e-05,0.009697930278060207,0.038686290970793805,0.008711334547150267,0.08419243986254296
331,0.1332,0.00753733708854877,0.07115963282344984,0.1914035802497913,0.06846749452300778,0.02524685206993387
337,0.005000000000000001,1.2587487195936406e-06,0.002205955063729892,0.019163157948329224,0.00033016101962038413,0.4980237154150198
339,0.05740000000000001,0.0011080652090431707,0.02734078936270845,0.08100687043760632,0.028295684930110167,0.05922108642392498
340,0.004200000000000001,5.473133348893633e-06,0.0017037476313173094,0.01003995875744585,0.0020756063268023276,0.38562091503267976
342,0.0006000000000000001,2.146744533437948e-07,0.00020014008604940514,0.00024345609311803452,0.00013600782317690636,0.6666666666666666
352,0.2396,0.02450909695924188,0.1337305391650876,0.29056924242090454,0.1358971127031898,0.015814896278086858
355,0.030000000000000002,0.0002522190131682051,0.01286984905411015,0.03944318460185829,0.008822319987869096,0.07787893700787402
359,0.0152,3.5537562940502856e-05,0.007255859522650399,0.041758873667056884,0.007295894294738348,0.20015220700152206
367,0.09,0.0010773227953694644,0.031156309867939047,0.11569578149901318,0.03856819408632472,0.0924310974143772
370,0.25980000000000003,0.025040930936245178,0.1446362149164684,0.43581428487602764,0.19044140118346112,0.03167814225723363
371,0.0058000000000000005,6.597445320913668e-06,0.0023064569722013317,0.012129484089656861,0.001971087595707286,0.30434782608695654
380,0.0084,2.885962432464622e-05,0.00381640757517987,0.01860520639687473,0.0030709861824505026,0.23751686909581646
381,0.0344,0.0001886967343248179,0.014617762257648659,0.048490524825058695,0.017476301175930683,0.1010536398467433
385,0.040600000000000004,0.0007239772905208017,0.020522684369787214,0.041185976076410294,0.01693915514239545,0.035761785133737255
393,0.0238,6.160633645706011e-05,0.010718957484925129,0.05056458190010195,0.012073912024294515,0.17615940751190265
399,0.0034000000000000002,2.4852432114704443e-06,0.001503005530002266,0.01173165175778082,0.0010549683506389878,0.3333333333333333
400,0.1112,0.0035124568291985034,0.054880662827545335,0.20215245950154517,0.0555137432052837,0.058843939170234755
403,0.0878,0.003833243969377586,0.044300097559132334,0.10175165717484592,0.05029961969144578,0.025860155382907882
409,0.0302,0.00023565158737549058,0.014103044342102855,0.04162389187659969,0.018595603529483494,0.08335046248715314
419,0.047400000000000005,0.0006337309849196106,0.020418497091599708,0.07242605866063753,0.026388220021322104,0.08044776119402985
425,0.003,9.589252067720542e-07,0.0014026646419362798,0.009681152938110928,3.65985375747242e-05,0.4
431,0.060000000000000005,0.0009171924822377478,0.02945703046948367,0.09172418108941463,0.05221982527695842,0.06483760142296728
437,0.0148,7.627796515561861e-05,0.006444458383373597,0.03742018012375692,0.010159761260436566,0.2110576923076923
440,0.0108,4.1430904096187016e-05,0.004623575890008391,0.024813907872936504,0.0030701308526528254,0.18593894542090658
441,0.0086,8.204891603725536e-06,0.0030105350056146563,0.01974156275282429,0.0012344762480433315,0.2731182795698925
456,0.0784,0.0016546344297408764,0.03661039280913525,0.11387233862585779,0.07782289296468334,0.06922104319713193
461,0.075,0.000978970208868539,0.03532189594976365,0.14967416670020417,0.06288668813786313,0.10258784791891754
471,0.033800000000000004,0.000285254965281973,0.01523611374071332,0.052900137250440835,0.015173034893059283,0.08741721854304636
476,0.0122,1.4202268607432592e-05,0.00472456319211112,0.02560336581367072,0.0023283982757589853,0.23847517730496454
477,0.017800000000000003,2.8376210468446945e-05,0.0068499955123555445,0.03530250415610671,0.01122891736674948,0.30392156862745096
479,0.0142,5.080148654982658e-05,0.0068499955123555445,0.03683950866183293,0.0109562996992496,0.2591645353793691
486,0.007000000000000001,9.131660117022809e-06,0.003111198322395703,0.014673685324998957,0.003126782807281634,0.2056451612903226
494,0.023600000000000003,6.807518559122118e-05,0.010616761868516233,0.06137585449839547,0.02021421935183213,0.2186882300089847
496,0.007000000000000001,4.903955251098024e-06,0.0032118818425515006,0.029024882078550186,0.00040232452755483317,0.4090909090909091
498,0.0144,4.5056535482918386e-05,0.006343125130060079,0.027719910169176996,0.010859659988864496,0.24851190476190477
503,0.151,0.005399407791724524,0.07623443391782403,0.22877795777090854,0.1024765623758522,0.038145553935279256
510,0.0106,4.062332096896655e-05,0.005128715471710565,0.01633586061479473,0.0036813497559124424,0.11764705882352941
514,0.015600000000000001,4.895283710643359e-05,0.006647186112386683,0.03699266015573335,0.009477420389897592,0.2265943012211669
515,0.050600000000000006,0.0007549443625879209,0.024917840829175697,0.07739121474309554,0.04225129878179722,0.05849018417324428
519,0.1348,0.005293586594638994,0.06533702568836586,0.19364479423190234,0.07167474430132412,0.03816866906493934
521,0.0134,2.9756296911700353e-05,0.005836764729032939,0.028507451148848856,0.004561766845187889,0.2571595558153127
524,0.0036,5.883268308699801e-06,0.0016033665244477024,0.007590177516473477,0.0014582748777689594,0.27205882352941174
526,0.0112,6.865164507941397e-06,0.0049265987054252225,0.034030384810156286,0.0018120368880105522,0.37551020408163266
527,0.030000000000000002,0.00020421006066807608,0.011844474631958146,0.05467231257242329,0.01312896944684962,0.14848616543531798
529,0.166,0.005145746129956978,0.07646624925408951,0.3215704191408741,0.09072323147711736,0.07126245518115727
533,0.0568,0.0008292777135281525,0.026813087601515795,0.08766472926795087,0.028786972406958496,0.08092772951946418
534,0.0022,1.2161423947755708e-06,0.0009012615859320672,0.004326111758438885,0.00026277844694309286,0.35555555555555557
538,0.0078000000000000005,1.8115060296710416e-05,0.003715602706946264,0.015493664130739628,0.005279398728276967,0.17354196301564723
545,0.005600000000000001,3.1804782532956527e-06,0.0021054733039971296,0.018020498989628788,0.003227204858169218,0.4155844155844156
550,0.04020000000000001,0.0005018965866644318,0.01958576393331457,0.07766864239594692,0.04036252772604019,0.08927029360967184
554,0.077,0.0012422641570227128,0.03628796807413748,0.1263062161466098,0.04777197867089173,0.07807895807895808
556,0.06899999999999999,0.0005153484579343462,0.03009360364444591,0.17258476432898495,0.0435183993730501,0.14640703165178362
565,0.0134,4.545506724407683e-05,0.006444458383373597,0.023035199704138917,0.006566991881647039,0.1125
566,0.0094,9.08221757726639e-06,0.004421662164313389,0.02806515769527131,0.0010455107653461549,0.2191919191919192
567,0.0032,2.2324032353488528e-07,0.0013023438542085763,0.010549102260693718,0.00020374440427258726,0.6593406593406593
570,0.0142,1.8205824936602138e-05,0.004421662164313389,0.02255410554539955,0.0019607896669562495,0.24141414141414141
