src,dst,probability
1,2,0.0045871559633027525
1,3,0.07142857142857142
1,4,0.002145922746781116
1,5,0.005405405405405406
1,6,0.0015060240963855422
1,7,0.012048192771084338
1,8,0.0012547051442910915
1,10,0.003067484662576687
1,15,0.002320185614849188
1,17,0.038461538461538464
1,19,0.005208333333333333
2,26,0.0028011204481792717
2,134,0.005208333333333333
2,27,0.0028089887640449437
2,99,0.007874015748031496
2,290,0.005376344086021506
2,31,0.007352941176470588
2,77,0.0070921985815602835
2,32,0.003067484662576687
2,175,0.01282051282051282
2,138,0.0013605442176870747
2,34,0.003952569169960474
2,291,0.0037735849056603774
2,140,0.010869565217391304
2,5,0.005405405405405406
2,141,0.008849557522123894
2,6,0.0015060240963855422
2,39,0.00392156862745098
2,143,0.01282051282051282
2,295,0.022727272727272728
2,145,0.024390243902439025
2,146,0.0051813471502590676
2,147,0.007692307692307693
2,299,0.0047169811320754715
2,148,0.017857142857142856
2,44,0.003076923076923077
2,301,0.0010741138560687433
2,188,0.0026666666666666666
2,253,0.004347826086956522
2,86,0.007874015748031496
2,211,0.0024937655860349127
2,306,0.006172839506172839
2,308,0.00423728813559322
2,62,0.014285714285714285
2,220,0.001466275659824047
2,317,0.0020491803278688526
2,318,0.02127659574468085
2,320,0.2
2,322,0.002207505518763797
2,323,0.0020876826722338203
2,71,0.002531645569620253
2,326,0.011627906976744186
2,327,0.001557632398753894
2,330,0.0027624309392265192
2,331,0.00202020202020202
3,134,0.005208333333333333
3,175,0.01282051282051282
3,34,0.003952569169960474
3,291,0.0037735849056603774
3,1009,0.017543859649122806
3,140,0.010869565217391304
3,143,0.01282051282051282
3,1042,0.0070921985815602835
3,147,0.007692307692307693
3,756,0.009009009009009009
3,1093,0.014492753623188406
3,158,0.00819672131147541
3,89,0.006060606060606061
3,62,0.014285714285714285
3,220,0.001466275659824047
4,2,0.0045871559633027525
4,26,0.0028011204481792717
4,134,0.005208333333333333
4,984,0.013333333333333334
4,27,0.0028089887640449437
4,985,0.0625
4,987,0.0038910505836575876
4,360,0.012658227848101266
4,290,0.005376344086021506
4,4219,0.020833333333333332
4,989,0.015873015873015872
4,623,0.0125
4,333,0.00980392156862745
4,863,0.045454545454545456
4,990,0.043478260869565216
4,77,0.0070921985815602835
4,992,0.01098901098901099
4,32,0.003067484662576687
4,715,0.058823529411764705
4,362,0.015625
4,175,0.01282051282051282
4,994,0.00558659217877095
4,995,0.007042253521126761
4,996,0.009523809523809525
4,334,0.018518518518518517
4,3264,0.011111111111111112
4,998,0.004
4,137,0.008403361344537815
4,1315,0.010869565217391304
4,138,0.0013605442176870747
4,1317,0.01694915254237288
4,2662,0.0029850746268656717
4,34,0.003952569169960474
4,720,0.0196078431372549
4,1002,0.03571428571428571
4,291,0.0037735849056603774
4,721,0.005494505494505495
4,1319,0.03225806451612903
4,1321,0.007518796992481203
4,368,0.023255813953488372
4,1009,0.017543859649122806
4,2055,0.002857142857142857
4,1443,0.008403361344537815
4,369,0.002840909090909091
4,5313,0.05
4,1010,0.041666666666666664
4,140,0.010869565217391304
4,1928,0.029411764705882353
4,1445,0.011904761904761904
4,206,0.0010121457489878543
4,5,0.005405405405405406
4,9626,0.05
4,6,0.0015060240963855422
4,1450,0.017543859649122806
4,372,0.016129032258064516
4,373,0.004291845493562232
4,374,0.008928571428571428
4,1014,0.02
4,1016,0.017543859649122806
4,143,0.01282051282051282
4,376,0.005405405405405406
4,7,0.012048192771084338
4,1024,0.043478260869565216
4,378,0.004608294930875576
4,920,0.0031545741324921135
4,1759,0.00641025641025641
4,8,0.0012547051442910915
4,1026,0.02564102564102564
4,381,0.010752688172043012
4,1335,0.041666666666666664
4,4580,0.07692307692307693
4,6212,0.024390243902439025
4,385,0.007462686567164179
