rank,feature,rho,p_value,p_fdr,significant
1,out_degree,0.7566236612192204,2.3477193520226136e-186,2.112947416820352e-185,True
2,degree,0.5977177600819821,6.79864390229715e-98,3.059389756033718e-97,True
3,in_degree,0.35104053496718873,2.259232475650527e-30,6.777697426951582e-30,True
4,activity_count,0.27714964198046615,4.3080718607866356e-19,9.69316168676993e-19,True
5,activity_span,0.2659950208724819,1.1728303963497343e-17,2.111094713429522e-17,True
6,mention_ratio,0.19450710635748736,5.557591559924578e-10,8.336387339886868e-10,True
7,reply_ratio,0.1338696054780104,2.164931235053023e-05,2.7834830164967437e-05,True
8,retweet_ratio,0.11274589181090508,0.00035389403499712385,0.0003981307893717643,True
9,clustering,-0.07615941707311098,0.016002467924690955,0.016002467924690955,True
