rank,feature,rho,p_value,p_fdr,significant
1,out_degree,0.7381431272172184,8.920108641803082e-173,8.028097777622774e-172,True
2,degree,0.5796124248039696,8.246697620382071e-91,3.711013929171932e-90,True
3,in_degree,0.3356074921104457,9.478955390743755e-28,2.8436866172231267e-27,True
4,activity_count,0.2782029122651312,3.128398735967592e-19,7.038897155927082e-19,True
5,activity_span,0.27595766198242994,6.177580740584332e-19,1.1119645333051798e-18,True
6,mention_ratio,0.18035163813666233,9.287999804228938e-09,1.3931999706343407e-08,True
7,reply_ratio,0.1490472063975192,2.2029310582376896e-06,2.832339932019887e-06,True
8,retweet_ratio,0.11327310590010564,0.00033183797585132507,0.0003733177228327407,True
9,clustering,-0.062445437904493195,0.048364096610472605,0.048364096610472605,True
