rank,feature,rho,p_value,p_fdr,significant
1,out_degree,0.7441799359462792,1.9598186541243877e-124,1.7638367887119487e-123,True
2,degree,0.5890264183662022,1.3316036130124103e-66,5.992216258555847e-66,True
3,in_degree,0.344217707990154,6.6611454297098326e-21,1.99834362891295e-20,True
4,activity_span,0.267470969432919,6.224564062357451e-13,1.4005269140304264e-12,True
5,activity_count,0.25827953983839214,3.940507666603963e-12,7.0929137998871336e-12,True
6,mention_ratio,0.14835006157356323,8.15567497526566e-05,0.0001223351246289849,True
7,reply_ratio,0.14158463081698167,0.0001711191243601191,0.00022001030274872458,True
8,retweet_ratio,0.13345180179582425,0.00039961188293497504,0.0004495633683018469,True
9,clustering,-0.06018554435538552,0.11161938433103531,0.11161938433103531,False
